subserv,['0']
sail,['1']
snuffl,['0']
recount,['1']
snuff,['1']
unveil,['1']
womaniz,['0']
perplex,['0']
legaliz,['0']
timetabl,['0']
anchor,['1']
snub,['2']
reconstruct,['1']
reconstitut,['0']
reconsider,['1']
prettif,['10']
leg,['2']
meddl,['0']
sag,['2']
subordinat,['0']
recondition,['1']
perorat,['0']
mechaniz,['0']
okay,['1']
submers,['0']
recommend,['1']
recollect,['1']
fac,['0']
recoil,['1']
snowball,['1']
snow,['1']
presuppos,['0']
oink,['1']
submerg,['0']
reclaim,['1']
snort,['1']
leer,['1']
combust,['1']
combin,['0']
sublimat,['0']
hoard,['1']
sublet,['2']
snor,['0']
subleas,['0']
snooz,['0']
reckon,['1']
drivel,['2']
hiv,['0']
perm,['1']
lectur,['0']
combat,['2']
inset,['2']
capitaliz,['0']
snoop,['1']
insert,['1']
snooker,['1']
pressuriz,['0']
snog,['2']
drip-dr,['10']
hitchhik,['0']
drip,['2']
pressur,['0']
perk,['1']
lech,['0']
comb,['1']
oil,['1']
hitch,['0']
hit,['2']
snivel,['2']
bivouac,['4']
snitch,['0']
meander,['1']
mean,['1']
leaven,['1']
ogl,['0']
inseminat,['0']
caparison,['1']
eye,['1']
drill,['1']
decree,['1']
drift,['1']
abus,['0']
decoy,['1']
leather,['1']
offset,['2']
hiss,['0']
cap,['2']
stor,['0']
bit,['0']
hir,['0']
dribbl,['0']
leas,['0']
decontrol,['2']
colour,['1']
off-load,['1']
canvass,['0']
learn,['1']
bitch,['0']
canton,['1']
zap,['2']
stop,['2']
decontaminat,['0']
abstract,['1']
decompress,['0']
decompos,['0']
decoloniz,['0']
officiat,['0']
canter,['1']
coloniz,['0']
theoriz,['0']
stoop,['1']
hint,['1']
dress,['0']
hing,['0']
stoog,['0']
drench,['0']
decok,['0']
decod,['0']
declutch,['0']
pour,['1']
cant,['1']
canoniz,['0']
vex,['0']
dredg,['0']
veto,['1']
stonewall,['1']
declassif,['10']
pound,['1']
declar,['0']
pounc,['0']
poultic,['0']
yowl,['1']
canoe,['1']
vet,['2']
vestur,['0']
declaim,['1']
absent,['1']
dream,['1']
sleek,['1']
pouch,['0']
sledg,['0']
scoop,['1']
sled,['2']
deck,['1']
relish,['0']
scold,['1']
pa,['7']
relin,['0']
cannon,['1']
cannibaliz,['0']
birch,['0']
ston,['0']
stomp,['1']
stomach,['1']
dread,['1']
scoff,['1']
decipher,['1']
pawn,['1']
scissor,['1']
scintillat,['0']
paw,['1']
thaw,['1']
vest,['1']
decimaliz,['0']
slaver,['1']
decid,['0']
pav,['0']
nourish,['0']
clot,['2']
paus,['0']
thatch,['0']
stok,['0']
yok,['0']
slav,['0']
slaughter,['1']
about-fac,['0']
decentraliz,['0']
pauperiz,['0']
closet,['1']
yodel,['2']
notif,['10']
stockpil,['0']
versif,['10']
slat,['0']
slash,['0']
relay,['1']
pattern,['1']
patter,['1']
yield,['1']
bus,['0']
school,['1']
patroniz,['0']
patrol,['2']
not,['0']
notch,['0']
bustl,['0']
notat,['0']
bust,['1']
slap,['2']
lik,['0']
slant,['1']
gam,['0']
pot,['2']
gambol,['2']
postur,['0']
relaps,['0']
rekindl,['0']
clos,['0']
notariz,['0']
rejuvenat,['0']
clop,['2']
cloister,['1']
middl,['0']
busk,['1']
slang,['1']
bejewel,['2']
slander,['1']
gambl,['0']
slam,['2']
rejoin,['1']
schem,['0']
feast,['1']
galvaniz,['0']
schematiz,['0']
rejig,['2']
clog,['2']
bushwhack,['1']
nosh,['0']
galumph,['1']
behead,['1']
reiterat,['0']
reissu,['0']
fear,['1']
reinsur,['0']
faz,['0']
reinstat,['0']
microfilm,['1']
nosediv,['0']
bur,['10']
index,['0']
heat,['1']
burthen,['1']
wolf,['1']
gallop,['1']
scent,['1']
beguil,['0']
begrudg,['0']
anathematiz,['0']
fawn,['1']
reinforc,['0']
reincarnat,['0']
nos,['0']
clock,['1']
eas,['0']
burst,['1']
begrim,['0']
burrow,['1']
wobbl,['0']
lighter,['1']
gall,['1']
favour,['1']
cloak,['1']
miaow,['1']
burr,['1']
miaou,['1']
indentur,['0']
burp,['1']
indent,['1']
lighten,['1']
beggar,['1']
hearten,['1']
untangl,['0']
analys,['0']
cyclostyl,['0']
tim,['0']
analogiz,['0']
fault,['1']
safeguard,['1']
clip,['2']
indemnif,['10']
mew,['1']
beg,['2']
befuddl,['0']
befriend,['1']
witness,['0']
befoul,['1']
unstop,['2']
lift,['1']
gain,['1']
cycl,['0']
anaesthetiz,['0']
tilt,['1']
earth,['1']
fatten,['1']
burn,['1']
befog,['2']
burlesqu,['0']
hearken,['1']
befit,['2']
gag,['2']
hear,['1']
beetl,['0']
till,['1']
fatigu,['0']
til,['0']
fathom,['1']
subjoin,['1']
recit,['0']
earn,['1']
earmark,['1']
burk,['0']
nerv,['0']
reciprocat,['0']
heap,['1']
burgl,['0']
beeswax,['0']
unsex,['0']
gaff,['1']
unsettl,['0']
heal,['1']
saddl,['0']
father,['1']
subject,['1']
sadden,['1']
recharg,['0']
unseat,['1']
wit,['4']
beef,['1']
tighten,['1']
unscrew,['1']
amplif,['10']
unscrambl,['0']
subedit,['1']
fat,['2']
subdivid,['0']
sacrific,['0']
recess,['0']
pressgang,['1']
unsa,['7']
unsaddl,['0']
unroll,['1']
tie-dye,['1']
cut,['2']
sub,['2']
press,['0']
wish,['0']
unrip,['2']
tid,['10']
sack,['1']
receipt,['1']
neigh,['1']
wisecrack,['1']
recast,['1']
preset,['2']
leap-frog,['2']
leap,['1']
fret,['2']
styliz,['0']
ammoniat,['0']
sabr,['0']
recaptur,['0']
dynamit,['0']
recapitulat,['0']
sabotag,['0']
recap,['2']
recall,['1']
perfum,['0']
maximiz,['0']
lean,['1']
freshen,['1']
styl,['0']
fresco,['1']
frequent,['1']
stutter,['1']
rebut,['2']
neglect,['1']
negativ,['0']
leak,['1']
leagu,['0']
tickl,['0']
ticket,['1']
rebuil,['6']
rebound,['1']
perfect,['1']
leaf,['1']
collocat,['0']
stunt,['1']
rebel,['2']
needl,['0']
maunder,['1']
maul,['1']
stun,['2']
freight,['1']
stump,['1']
reassur,['0']
canker,['1']
hik,['0']
externaliz,['0']
hijack,['1']
need,['1']
prerecord,['1']
drawl,['1']
matur,['0']
maturat,['0']
collectiviz,['0']
perch,['0']
leach,['0']
can,['2']
freeze-dr,['10']
exterminat,['0']
exterioriz,['0']
cand,['10']
prepossess,['0']
matter,['1']
freewheel,['1']
inla,['7']
extemporiz,['0']
prepa,['7']
laz,['0']
collar,['1']
collaps,['0']
thank,['1']
drat,['2']
high-pressur,['0']
drap,['0']
decarboniz,['0']
collaborat,['0']
ink,['1']
cancel,['2']
expurgat,['0']
dramatiz,['0']
decamp,['1']
pepper,['1']
peopl,['0']
freeload,['1']
canaliz,['0']
yen,['2']
tether,['1']
freelanc,['0']
yelp,['1']
highlight,['1']
stockad,['0']
stock,['1']
stitch,['0']
drain,['1']
debut,['1']
debunk,['1']
debug,['2']
initiat,['0']
initial,['2']
yellow,['1']
expostulat,['0']
yell,['1']
stir,['2']
slak,['0']
debrief,['1']
debon,['0']
debit,['1']
slacken,['1']
postmark,['1']
camphorat,['0']
yearn,['1']
stippl,['0']
draggl,['0']
stint,['1']
drag,['2']
slack,['1']
draft,['1']
verbaliz,['0']
skyrocket,['1']
test,['1']
campaign,['1']
skylark,['1']
debark,['1']
skyjack,['1']
camp,['1']
camouflag,['0']
yawn,['1']
yaw,['1']
terroriz,['0']
yarn,['1']
stimulat,['0']
doz,['0']
sk,['10']
postdat,['0']
skunk,['1']
scat,['2']
patent,['1']
scarper,['1']
yap,['2']
terrif,['10']
vent,['1']
skulk,['1']
skivv,['10']
post,['1']
skiv,['0']
scarif,['10']
patch,['0']
yank,['1']
pat,['2']
clink,['1']
yak,['2']
still,['1']
stigmatiz,['0']
stifl,['0']
veng,['0']
possess,['0']
scar,['2']
pastur,['0']
clinch,['0']
yacht,['1']
metriciz,['0']
metricat,['0']
x-ray,['1']
stiffen,['1']
skirt,['1']
skirmish,['0']
veneer,['1']
skipper,['1']
position,['1']
posit,['1']
scant,['1']
climb,['1']
xerox,['0']
climax,['0']
burglariz,['0']
normaliz,['0']
methylat,['0']
vend,['1']
skip,['2']
pos,['0']
pasteuriz,['0']
scandaliz,['0']
click,['1']
burden,['1']
velariz,['0']
gabbl,['0']
skin,['2']
scan,['2']
scamper,['1']
scamp,['1']
past,['0']
clew,['1']
noos,['0']
burbl,['0']
incriminat,['0']
skimp,['1']
veil,['1']
buoy,['1']
headlin,['0']
skim,['2']
scalp,['1']
scallop,['1']
fasten,['1']
clerk,['1']
fast,['1']
clench,['0']
bedew,['1']
scal,['0']
bedevil,['2']
scald,['1']
passiviz,['0']
fashion,['1']
cuss,['0']
metamorphos,['0']
